"storm_basin","storm_year","storm_name","location","lf_type","lf_id","datetime","record_identifier","storm_status","windspeed","pressure","rmw","ne_34kt","se_34kt","nw_34kt","sw_34kt","ne_50kt","se_50kt","nw_50kt","sw_50kt","ne_64kt","se_64kt","nw_64kt","sw_64kt","hurricane_category","lat","lon"
AL,1998,FRANCES,POINT (-96.9 28.2),LF,1,1998-09-11 02:00:00.000 -0400,L,TS,45.0,990.0,,,,,,,,,,,,,,,28.2,-96.9
AL,1998,GEORGES,POINT (-81.8 24.5),LF,1,1998-09-25 11:30:00.000 -0400,L,HU,90.0,981.0,25.0,,,,,,,,,,,,,2,24.5,-81.8
AL,1998,GEORGES,POINT (-88.9 30.4),LF,2,1998-09-28 07:30:00.000 -0400,L,HU,90.0,964.0,80.0,,,,,,,,,,,,,2,30.4,-88.9
AL,1998,GEORGES,POINT (-88.9 30.4),LF,2,1998-09-28 08:00:00.000 -0400,,HU,90.0,965.0,,,,,,,,,,,,,,2,30.4,-88.9
AL,1998,MITCH,POINT (-81.3 25.6),LF,1,,,,,,,,,,,,,,,,,,,,25.6,-81.3
AL,1999,BRET,POINT (-97.4 26.9),LF,1,1999-08-22 20:00:00.000 -0400,L,HU,100.0,951.0,10.0,,,,,,,,,,,,,3,26.9,-97.4
AL,1999,DENNIS,POINT (-76.5 34.8),LF,1,1999-09-04 17:00:00.000 -0400,L,TS,60.0,984.0,,,,,,,,,,,,,,,34.8,-76.5
AL,1999,FLOYD,POINT (-78 33.8),LF,1,1999-09-16 02:30:00.000 -0400,L,HU,90.0,956.0,35.0,,,,,,,,,,,,,2,33.8,-78.0
AL,1999,HARVEY,POINT (-81.5 25.9),LF,1,1999-09-21 14:00:00.000 -0400,,TS,50.0,999.0,,,,,,,,,,,,,,,25.9,-81.5
AL,1999,IRENE,POINT (-81.1 25.3),LF,1,1999-10-15 16:00:00.000 -0400,L,HU,70.0,987.0,40.0,,,,,,,,,,,,,1,25.3,-81.1
AL,2000,GORDON,POINT (-83.2 29.3),LF,1,2000-09-17 23:00:00.000 -0400,L,TS,55.0,991.0,,,,,,,,,,,,,,,29.3,-83.2
AL,2000,HELENE,POINT (-86.6 30.3),LF,1,,,,,,,,,,,,,,,,,,,,30.3,-86.6
AL,2001,ALLISON,POINT (-95.3 28.9),LF,1,2001-06-05 17:00:00.000 -0400,L,TS,45.0,1003.0,,,,,,,,,,,,,,,28.9,-95.3
AL,2001,BARRY,POINT (-86.3 30.4),LF,1,2001-08-06 01:00:00.000 -0400,L,TS,60.0,990.0,,,,,,,,,,,,,,,30.4,-86.3
AL,2001,GABRIELLE,POINT (-82.6 27.1),LF,1,2001-09-14 08:00:00.000 -0400,L,TS,60.0,983.0,,,,,,,,,,,,,,,27.1,-82.6
AL,2002,HANNA,POINT (-84.4 30.3),LF,1,,,,,,,,,,,,,,,,,,,,30.3,-84.4
AL,2002,ISIDORE,POINT (-90.3 29.1),LF,1,2002-09-26 02:00:00.000 -0400,L,TS,55.0,984.0,,,,,,,,,,,,,,,29.1,-90.3
AL,2002,LILI,POINT (-92.2 29.5),LF,1,2002-10-03 09:00:00.000 -0400,L,HU,80.0,963.0,10.0,,,,,,,,,,,,,1,29.5,-92.2
AL,2003,BILL,POINT (-91 29.3),LF,1,2003-06-30 15:00:00.000 -0400,L,TS,50.0,997.0,,,,,,,,,,,,,,,29.3,-91.0
AL,2003,CLAUDETTE,POINT (-96.2 28.3),LF,1,2003-07-15 11:30:00.000 -0400,L,HU,80.0,979.0,15.0,,,,,,,,,,,,,1,28.3,-96.2
AL,2003,ISABEL,POINT (-76.2 34.9),LF,1,2003-09-18 13:00:00.000 -0400,L,HU,90.0,957.0,40.0,,,,,,,,,,,,,2,34.9,-76.2
AL,2004,CHARLEY,POINT (-82.2 26.6),LF,1,2004-08-13 15:45:00.000 -0400,L,HU,130.0,941.0,5.0,,,,,,,,,,,,,4,26.6,-82.2
AL,2004,CHARLEY,POINT (-79.4 33),LF,2,2004-08-14 10:00:00.000 -0400,L,HU,70.0,992.0,20.0,,,,,,,,,,,,,1,33.0,-79.4
AL,2004,FRANCES,POINT (-80.2 27.2),LF,1,2004-09-05 00:30:00.000 -0400,L,HU,90.0,960.0,30.0,,,,,,,,,,,,,2,27.2,-80.2
AL,2004,FRANCES,POINT (-80.2 27.2),LF,1,2004-09-05 02:00:00.000 -0400,,HU,90.0,960.0,,175.0,160.0,125.0,160.0,125.0,100.0,75.0,120.0,75.0,60.0,40.0,60.0,2,27.2,-80.2
AL,2004,GASTON,POINT (-79.6 33),LF,1,2004-08-29 10:00:00.000 -0400,L,HU,65.0,985.0,10.0,,,,,,,,,,,,,1,33.0,-79.6
AL,2004,IVAN,POINT (-87.9 30.2),LF,1,2004-09-16 02:50:00.000 -0400,L,HU,105.0,946.0,25.0,,,,,,,,,,,,,3,30.2,-87.9
AL,2004,JEANNE,POINT (-80.2 27.2),LF,1,2004-09-26 00:00:00.000 -0400,L,HU,105.0,950.0,45.0,,,,,,,,,,,,,3,27.2,-80.2
AL,2005,CINDY,POINT (-90.1 29.2),LF,1,2005-07-05 23:00:00.000 -0400,L,HU,65.0,991.0,20.0,,,,,,,,,,,,,1,29.2,-90.1
AL,2005,DENNIS,POINT (-87.1 30.4),LF,1,2005-07-10 15:30:00.000 -0400,L,HU,105.0,946.0,5.0,,,,,,,,,,,,,3,30.4,-87.1
AL,2005,KATRINA,POINT (-80.1 26),LF,1,2005-08-25 18:30:00.000 -0400,L,HU,70.0,984.0,15.0,,,,,,,,,,,,,1,26.0,-80.1
AL,2005,KATRINA,POINT (-89.6 29.3),LF,2,2005-08-29 07:10:00.000 -0400,L,HU,110.0,920.0,20.0,,,,,,,,,,,,,3,29.3,-89.6
AL,2005,RITA,POINT (-93.7 29.7),LF,1,2005-09-24 03:40:00.000 -0400,L,HU,100.0,937.0,20.0,,,,,,,,,,,,,3,29.7,-93.7
AL,2005,WILMA,POINT (-81.7 25.9),LF,1,2005-10-24 06:30:00.000 -0400,L,HU,105.0,950.0,25.0,,,,,,,,,,,,,3,25.9,-81.7
AL,2006,ERNESTO,POINT (-80.6 24.9),LF,1,2006-08-29 23:00:00.000 -0400,L,TS,40.0,1003.0,,,,,,,,,,,,,,,24.9,-80.6
AL,2006,ERNESTO,POINT (-80.7 25.2),LF,2,2006-08-30 01:00:00.000 -0400,L,TS,40.0,1003.0,,,,,,,,,,,,,,,25.2,-80.7
AL,2007,HUMBERTO,POINT (-94.3 29.6),LF,1,2007-09-13 03:00:00.000 -0400,L,HU,80.0,985.0,10.0,,,,,,,,,,,,,1,29.6,-94.3
AL,2008,DOLLY,POINT (-97.2 26.4),LF,1,2008-07-23 14:00:00.000 -0400,,HU,75.0,967.0,,120.0,120.0,45.0,45.0,40.0,40.0,30.0,30.0,30.0,20.0,20.0,20.0,1,26.4,-97.2
AL,2008,DOLLY,POINT (-97.2 26.4),LF,1,2008-07-23 14:20:00.000 -0400,L,HU,75.0,967.0,10.0,120.0,120.0,45.0,45.0,40.0,40.0,30.0,30.0,30.0,20.0,20.0,20.0,1,26.4,-97.2
AL,2008,FAY,POINT (-81.6 25.9),LF,1,2008-08-19 04:45:00.000 -0400,L,TS,55.0,991.0,,,,,,,,,,,,,,,25.9,-81.6
AL,2008,GUSTAV,POINT (-90.7 29.2),LF,1,2008-09-01 11:00:00.000 -0400,L,HU,90.0,954.0,25.0,175.0,175.0,140.0,135.0,130.0,100.0,70.0,75.0,35.0,50.0,40.0,30.0,2,29.2,-90.7
AL,2008,HANNA,POINT (-78.7 33.8),LF,1,2008-09-06 03:00:00.000 -0400,L,TS,60.0,981.0,,175.0,175.0,75.0,0.0,60.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,,33.8,-78.7
AL,2008,IKE,POINT (-94.7 29.3),LF,1,2008-09-13 03:00:00.000 -0400,L,HU,95.0,950.0,30.0,225.0,200.0,125.0,125.0,150.0,160.0,80.0,75.0,110.0,90.0,55.0,45.0,2,29.3,-94.7
AL,2009,CLAUDETTE,POINT (-86.5 30.4),LF,1,2009-08-17 01:30:00.000 -0400,L,TS,40.0,1005.0,,,,,,,,,,,,,,,30.4,-86.5
AL,2009,IDA,POINT (-88 30.3),LF,1,2009-11-10 07:00:00.000 -0500,,EX,35.0,999.0,,30.0,60.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.3,-88.0
AL,2010,BONNIE,POINT (-80.2 25.4),LF,1,2010-07-23 10:30:00.000 -0400,L,TS,35.0,1007.0,,75.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.4,-80.2
AL,2011,IRENE,POINT (-76.6 34.7),LF,1,2011-08-27 08:00:00.000 -0400,L,HU,75.0,952.0,45.0,225.0,225.0,150.0,125.0,125.0,125.0,90.0,60.0,80.0,80.0,40.0,35.0,1,34.7,-76.6
AL,2011,LEE,POINT (-92.5 29.5),LF,1,2011-09-04 02:00:00.000 -0400,,SS,40.0,986.0,,225.0,225.0,130.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5,-92.5
AL,2012,ISAAC,POINT (-89.4 28.9),LF,1,2012-08-28 20:00:00.000 -0400,L,HU,70.0,967.0,40.0,180.0,150.0,150.0,140.0,90.0,90.0,60.0,50.0,50.0,60.0,0.0,0.0,1,28.9,-89.4
AL,2012,SANDY,POINT (-74.4 39.4),LF,1,2012-10-29 19:30:00.000 -0400,L,EX,70.0,945.0,,460.0,370.0,400.0,490.0,180.0,150.0,80.0,50.0,70.0,80.0,60.0,0.0,,39.4,-74.4
AL,2013,ANDREA,POINT (-83.4 29.5),LF,1,2013-06-06 18:00:00.000 -0400,L,TS,50.0,992.0,,80.0,120.0,60.0,60.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.5,-83.4
AL,2014,ARTHUR,POINT (-75.5 35.8),LF,1,2014-07-04 04:00:00.000 -0400,L,HU,85.0,973.0,15.0,100.0,110.0,90.0,40.0,50.0,80.0,50.0,30.0,30.0,35.0,30.0,20.0,2,35.8,-75.5
AL,2015,ANA,POINT (-78.8 33.8),LF,1,2015-05-10 06:00:00.000 -0400,L,TS,40.0,1002.0,,70.0,110.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,33.8,-78.8
AL,2015,BILL,POINT (-96.7 28.2),LF,1,2015-06-16 12:45:00.000 -0400,L,TS,50.0,997.0,,130.0,130.0,0.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.2,-96.7
AL,2015,BILL,POINT (-96.7 28.2),LF,1,2015-06-16 14:00:00.000 -0400,,TS,50.0,997.0,,130.0,130.0,0.0,30.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,28.2,-96.7
AL,2016,HERMINE,POINT (-84.1 30.1),LF,1,2016-09-02 01:30:00.000 -0400,L,HU,70.0,981.0,20.0,130.0,150.0,60.0,60.0,70.0,110.0,40.0,30.0,30.0,40.0,30.0,0.0,1,30.1,-84.1
AL,2016,MATTHEW,POINT (-79.5 33),LF,1,2016-10-08 11:00:00.000 -0400,L,HU,75.0,967.0,,190.0,160.0,90.0,140.0,70.0,70.0,60.0,30.0,30.0,25.0,20.0,0.0,1,33.0,-79.5
AL,2017,HARVEY,POINT (-96.9 28),LF,1,2017-08-25 23:00:00.000 -0400,L,HU,115.0,937.0,10.0,120.0,90.0,80.0,70.0,60.0,40.0,40.0,40.0,35.0,25.0,20.0,25.0,4,28.0,-96.9
AL,2017,IRMA,POINT (-81.7 25.9),LF,1,2017-09-10 15:30:00.000 -0400,L,HU,100.0,936.0,15.0,330.0,190.0,140.0,220.0,130.0,130.0,80.0,110.0,70.0,60.0,30.0,50.0,3,25.9,-81.7
AL,2017,NATE,POINT (-89.2 29.1),LF,1,2017-10-07 20:00:00.000 -0400,L,HU,75.0,983.0,15.0,110.0,100.0,40.0,70.0,50.0,50.0,0.0,20.0,30.0,30.0,0.0,0.0,1,29.1,-89.2
AL,2017,NATE,POINT (-89 30.4),LF,2,2017-10-08 01:20:00.000 -0400,L,HU,65.0,984.0,20.0,90.0,100.0,40.0,70.0,40.0,50.0,0.0,0.0,25.0,30.0,0.0,0.0,1,30.4,-89.0
AL,2018,FLORENCE,POINT (-77.8 34.2),LF,1,2018-09-14 07:15:00.000 -0400,L,HU,80.0,956.0,25.0,170.0,150.0,140.0,90.0,100.0,80.0,80.0,60.0,70.0,60.0,60.0,40.0,1,34.2,-77.8
AL,2018,MICHAEL,POINT (-85.5 30),LF,1,2018-10-10 13:30:00.000 -0400,L,HU,140.0,919.0,10.0,90.0,140.0,100.0,80.0,60.0,80.0,50.0,50.0,35.0,35.0,25.0,25.0,5,30.0,-85.5
AL,2019,BARRY,POINT (-92.2 29.6),LF,1,2019-07-13 11:00:00.000 -0400,L,HU,65.0,993.0,40.0,90.0,150.0,130.0,70.0,60.0,90.0,0.0,0.0,40.0,40.0,0.0,0.0,1,29.6,-92.2
AL,2019,DORIAN,POINT (-75.6 35.2),LF,1,2019-09-06 08:30:00.000 -0400,L,HU,85.0,956.0,20.0,190.0,190.0,150.0,80.0,110.0,120.0,80.0,70.0,50.0,60.0,50.0,40.0,2,35.2,-75.6
AL,2019,IMELDA,POINT (-95.4 28.8),LF,1,,,,,,,,,,,,,,,,,,,,28.8,-95.4
AL,2020,DELTA,POINT (-93.1 29.8),LF,1,2020-10-09 19:00:00.000 -0400,L,HU,85.0,970.0,15.0,140.0,140.0,80.0,110.0,50.0,40.0,40.0,50.0,35.0,30.0,25.0,25.0,2,29.8,-93.1
AL,2020,ETA,POINT (-80.6 24.8),LF,1,,,,,,,,,,,,,,,,,,,,24.8,-80.6
AL,2020,HANNA,POINT (-97.3 26.8),LF,1,2020-07-25 18:00:00.000 -0400,L,HU,80.0,973.0,20.0,100.0,100.0,50.0,80.0,50.0,30.0,30.0,50.0,25.0,20.0,20.0,25.0,1,26.8,-97.3
AL,2020,ISAIAS,POINT (-78.5 33.9),LF,1,2020-08-03 23:10:00.000 -0400,L,HU,80.0,986.0,25.0,110.0,110.0,40.0,60.0,50.0,50.0,30.0,30.0,20.0,20.0,20.0,0.0,1,33.9,-78.5
AL,2020,LAURA,POINT (-93.3 29.8),LF,1,2020-08-27 02:00:00.000 -0400,L,HU,130.0,939.0,15.0,120.0,150.0,80.0,80.0,60.0,70.0,40.0,40.0,40.0,50.0,30.0,30.0,4,29.8,-93.3
AL,2020,SALLY,POINT (-87.7 30.3),LF,1,2020-09-16 05:45:00.000 -0400,L,HU,95.0,965.0,15.0,90.0,110.0,80.0,70.0,70.0,40.0,30.0,50.0,35.0,20.0,20.0,25.0,2,30.3,-87.7
AL,2020,ZETA,POINT (-90.6 29.2),LF,1,2020-10-28 17:00:00.000 -0400,L,HU,100.0,970.0,20.0,130.0,130.0,40.0,60.0,70.0,70.0,20.0,20.0,35.0,35.0,0.0,0.0,3,29.2,-90.6
AL,2021,ELSA,POINT (-83.4 30.3),LF,1,2021-07-07 14:00:00.000 -0400,,TS,45.0,1002.0,40.0,60.0,60.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.3,-83.4
AL,2021,FRED,POINT (-85.4 29.5),LF,1,2021-08-16 14:00:00.000 -0400,,TS,55.0,991.0,30.0,100.0,100.0,30.0,40.0,50.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,,29.5,-85.4
AL,2021,IDA,POINT (-90.2 29.1),LF,1,2021-08-29 12:55:00.000 -0400,L,HU,130.0,931.0,10.0,130.0,110.0,80.0,110.0,70.0,60.0,40.0,60.0,45.0,35.0,20.0,30.0,4,29.1,-90.2
AL,2021,NICHOLAS,POINT (-95.7 28.7),LF,1,2021-09-14 01:30:00.000 -0400,L,HU,65.0,991.0,20.0,100.0,120.0,40.0,50.0,50.0,40.0,0.0,30.0,25.0,25.0,0.0,20.0,1,28.7,-95.7
AL,2022,IAN,POINT (-82.2 26.7),LF,1,2022-09-28 15:05:00.000 -0400,L,HU,130.0,941.0,20.0,130.0,150.0,100.0,150.0,50.0,60.0,70.0,80.0,30.0,40.0,30.0,45.0,4,26.7,-82.2
AL,2022,IAN,POINT (-79.2 33.3),LF,2,2022-09-30 14:00:00.000 -0400,,HU,70.0,978.0,40.0,190.0,130.0,100.0,60.0,80.0,60.0,80.0,40.0,0.0,30.0,40.0,0.0,1,33.3,-79.2
AL,2022,IAN,POINT (-79.2 33.3),LF,2,2022-09-30 14:05:00.000 -0400,L,HU,70.0,978.0,40.0,190.0,130.0,100.0,60.0,80.0,60.0,80.0,40.0,0.0,30.0,40.0,0.0,1,33.3,-79.2
AL,2022,NICOLE,POINT (-80.3 27.6),LF,1,2022-11-10 02:45:00.000 -0500,L,HU,65.0,980.0,20.0,390.0,90.0,180.0,300.0,80.0,30.0,20.0,80.0,20.0,20.0,0.0,0.0,1,27.6,-80.3
AL,2023,IDALIA,POINT (-83.6 29.9),LF,1,2023-08-30 07:45:00.000 -0400,L,HU,100.0,950.0,10.0,130.0,180.0,50.0,60.0,60.0,50.0,30.0,40.0,20.0,20.0,15.0,10.0,3,29.9,-83.6
AL,2023,OPHELIA,POINT (-77.1 34.7),LF,1,2023-09-23 06:15:00.000 -0400,L,TS,60.0,981.0,30.0,270.0,120.0,90.0,80.0,40.0,40.0,50.0,60.0,0.0,0.0,0.0,0.0,,34.7,-77.1
